Year,Britain #588D72 ,Spanish #27553E,French #85B19B,American #3C7257,Dutch #346361,Russian #739998,Chinese #4C7A78 ,Ottoman #224A48
start,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL,ESP,FRA,USA,FIN,RUS,CHN,TUR
1794,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC,,,,,,,
1796,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY,,,,,,,
1796,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA,,,,,,,
1800,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA,,,,,,,
1806,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF,,,,,,,
1808,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE,,,,,,,
1810,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS,,,,,,,
1814,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT,,,,,,,
1820,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR,,,,,,,
1821,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA,,,,,,,
1824,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP,,,,,,,
1833,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK,,,,,,,
1842,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG,,,,,,,
1848,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND,,,,,,,
1853,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE,,,,,,,
1857,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM,,,,,,,
1862,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ,,,,,,,
1868,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA,,,,,,,
1874,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; FJI,,,,,,,
1878,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM,,,,,,,
1884,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG,,,,,,,
1885,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; KEN; BRN; GMB; NGA,,,,,,,
1889,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; KEN; BRN; GMB; NGA; ZWE,,,,,,,
1887,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; KEN; BRN; GMB; NGA; ZWE; MDV,,,,,,,
1888,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; KEN; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB,,,,,,,
1889,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; KEN; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO,,,,,,,
1894,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; KEN; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA,,,,,,,
1898,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; KEN; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; SDN,,,,,,,
1899,GBR; AUS; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; KEN; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; SDN; KWT; WSM,,,,,,,
1901,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; KEN; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; SDN; KWT; WSM,ESP,FRA,USA,FIN,RUS,CHN,TUR
1914,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; KEN; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; SDN; KWT; WSM; CMR,,,,,,,
1920,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; ZAF; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; SDN; KWT; WSM; CMR; TON,,,,,,,
1931,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; SDN; KWT; WSM; CMR; TON,,,,,,,
1947,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; SDN; KWT; WSM; CMR; TON; IND,,,,,,,
1948,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; TZA; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; SDN; KWT; WSM; CMR; TON,,,,,,,
1956,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MYS; MSR; TCA; NZL; SYC; GUY; LKA; TZA; SLE; MUS; MLT; BHR; GHA; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; KWT; WSM; CMR; TON,,,,,,,
1957,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MSR; TCA; NZL; SYC; GUY; LKA; TZA; SLE; MUS; MLT; BHR; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; CYP; NAM; LSO; SOM; PNG; BRN; GMB; NGA; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; KWT; WSM; CMR; TON,,,,,,,
1960,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MSR; TCA; NZL; SYC; GUY; LKA; TZA; SLE; MUS; MLT; BHR; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; NAM; LSO; PNG; BRN; GMB; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; KWT; WSM; CMR; TON,,,,,,,
1961,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; JAM; MSR; TCA; NZL; SYC; GUY; LKA; TZA; MUS; MLT; BHR; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; NAM; LSO; PNG; BRN; GMB; ZWE; MDV; KEN; BRN; GMB; TTO; UGA; WSM; TON,,,,,,,
1962,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; MSR; TCA; NZL; SYC; GUY; LKA; TZA; MUS; MLT; BHR; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; NAM; LSO; PNG; BRN; GMB; ZWE; MDV; KEN; BRN; GMB; TON ,,,,,,,
1963,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; MSR; TCA; NZL; SYC; GUY; LKA; TZA; MUS; MLT; BHR; SGP; FLK; HKG; IND; ARE; YEM; BLZ; BWA; NAM; LSO; PNG; BRN; GMB; ZWE; MDV;  BRN; GMB; TON ,,,,,,,
1965,GBR; AIA; BRB; BMU; BRU; CAN; CYM; GIB; GRD; MSR; TCA; NZL; SYC; GUY; LKA; TZA; MUS; BHR; FLK; HKG; IND; ARE; YEM; BLZ; BWA; NAM; LSO; PNG; BRN; BRN; GMB; TON ,,,,,,,
1966,GBR; AIA; BMU; BRU; CAN; CYM; GIB; GRD; MSR; TCA; NZL; SYC; LKA; TZA; MUS; BHR; FLK; HKG; IND; ARE; YEM; BLZ; NAM; PNG; BRN; BRN; GMB; TON ,,,,,,,
1967,GBR; AIA; BMU; BRU; CAN; CYM; GIB; GRD; MSR; TCA; NZL; SYC; LKA; TZA; MUS; BHR; FLK; HKG; IND; ARE; BLZ; NAM; PNG; BRN; BRN; GMB; TON ,,,,,,,
1968,GBR; AIA; BMU; BRU; CAN; CYM; GIB; GRD; MSR; TCA; NZL; SYC; LKA; TZA; BHR; FLK; HKG; IND; BLZ; NAM; PNG; BRN; BRN; GMB; TON,,,,,,,
1970,GBR; AIA; BMU; BRU; CAN; CYM; GIB; GRD; MSR; TCA; NZL; SYC; LKA; TZA; BHR; FLK; HKG; IND; BLZ; NAM; PNG; BRN; BRN; GMB,,,,,,,
1971,GBR; AIA; BMU; BRU; CAN; CYM; GIB; GRD; MSR; TCA; SYC; LKA; TZA; FLK; HKG; IND; BLZ; NAM; PNG; BRN; BRN; GMB,,,,,,,
1974,GBR; AIA; BMU; BRU; CAN; CYM; GIB; MSR; TCA; SYC; LKA; TZA; FLK; HKG; IND; BLZ; NAM; PNG; BRN; BRN; GMB,,,,,,,
1975,GBR; AIA; BMU; BRU; CAN; CYM; GIB; MSR; TCA; SYC; LKA; TZA; FLK; HKG; IND; BLZ; NAM; BRN; BRN; GMB,,,,,,,
1976,GBR; AIA; BMU; BRU; CAN; CYM; GIB; MSR; TCA; SYC; LKA; TZA; FLK; HKG; IND; BLZ; NAM; BRN; BRN; GMB; SYC,,,,,,,
1981,GBR; AIA; BMU; BRU; CAN; CYM; GIB; MSR; TCA; SYC; LKA; TZA; FLK; HKG; IND; NAM; BRN; BRN; GMB; SYC,,,,,,,
1982,GBR; AIA; BMU; BRU; CYM; GIB; MSR; TCA; SYC; LKA; TZA; FLK; HKG; IND; NAM; BRN; BRN; GMB; SYC,,,,,,,
1983,GBR; AIA; BMU; BRU; CYM; GIB; MSR; TCA; SYC; LKA; TZA; FLK; HKG; IND; NAM; BRN; GMB; SYC,,,,,,,
1990,GBR; AIA; BMU; BRU; CYM; GIB; MSR; TCA; SYC; LKA; TZA; FLK; HKG; IND; BRN; GMB; SYC,,,,,,,
1997,GBR; AIA; BMU; BRU; CYM; GIB; MSR; TCA; SYC; LKA; TZA; FLK; IND; BRN; GMB; SYC,,,,,,,
