StartDate,EndDate,Title,RelatedEvents,Description,Footnotes,Image,ForMoreSee,Ref,Location,Influences,Empire,Tags
"// format must be yyyy/mm/dd. Be careful with dates after 1900, they require a ' at the beginning","// format yyyy or yyyy/mm/dd, be careful after 1900",,,,,,,,"// Use lat, long or 3 country codes. Use ; to divide multiple locations",,// use ; to divide,// use ; to divide
1789,1792,The Third Anglo-Mysore War,,"Lorem ipsum dolor sit amet, oblique prompta quo ut, ea convenire petentium cum, an eos sumo tollit offendit. Te adhuc ancillae duo. Homero posidonium consectetuer est ex. Cum pertinax senserit te, te est dicat audire feugait, alia vulputate eam ea. Mel assum adolescens id, labore prodesset ius ad.

Ei probo volumus prodesset has. Unum iisque definitionem in mea. Quando populo singulis et sit, ad scaevola persequeris vis. Audiam theophrastus at vel, erat persius pro te. Quando efficiantur at eos, assum detracto signiferumque vix at, ut vis dico simul albucius.

Suas graece vim ad, no prima nonumy epicuri pri. Dictas perfecto dissentiet mei ut. Ea sea tota tantas, ut cum meis abhorreant comprehensam. Pri eu aliquip epicuri conclusionemque, ius duis tantas essent ei.",http://resources.amdigital.co.uk.ezproxy.library.uq.edu.au/eo/time/,,,,GBR; IND,,British; French,
1889,,Small Pox Epidemic impacts Indigenous Australians,,Approximate Deaths: half of Indigenous population around Sydney,http://resources.amdigital.co.uk.ezproxy.library.uq.edu.au/eo/time/,,,,"-33.868820, 151.209296",,British,
1789,,First convict given land to farm,,"Lorem ipsum dolor sit amet, te sea unum delectus. Est ad summo convenire. Vel possim animal et. Eu est nullam facilis delicatissimi. Et nam autem singulis. Mazim officiis honestatis te eum.

Utinam integre dolores ea per, eos vide graeco adipiscing ei, id soluta definitiones his. Inermis tibique nominavi ei pro, cu est accusam nominavi. Aperiam accusamus temporibus quo an. Est ea sint invenire, eos mundi facilisi salutatus et. Vis nobis minimum ex. At timeam recteque mel.

Paulo regione no ius, sea an lorem option debitis, nostrum adipisci te nec. Eu doming facilisi partiendo per. Ipsum graecis convenire te mea, has illum gubergren ne. Eos odio saperet ex. Has an delectus forensibus, an quo dicit repudiandae. Ullum perpetua per eu.

Ei probo volumus prodesset has. Unum iisque definitionem in mea. Quando populo singulis et sit, ad scaevola persequeris vis. Audiam theophrastus at vel, erat persius pro te. Quando efficiantur at eos, assum detracto signiferumque vix at, ut vis dico simul albucius.

Suas graece vim ad, no prima nonumy epicuri pri. Dictas perfecto dissentiet mei ut. Ea sea tota tantas, ut cum meis abhorreant comprehensam. Pri eu aliquip epicuri conclusionemque, ius duis tantas essent ei.",http://resources.amdigital.co.uk.ezproxy.library.uq.edu.au/eo/time/,,,,"-33.815000, 151.001111",,British,
1792,1802,French Revolution,,,,,,,FRA,,French,
24/11/1904,,The Lady Juliana arrives,,"Lorem ipsum dolor sit amet, oblique prompta quo ut, ea convenire petentium cum, an eos sumo tollit offendit. Te adhuc ancillae duo. Homero posidonium consectetuer est ex. Cum pertinax senserit te, te est dicat audire feugait, alia vulputate eam ea. Mel assum adolescens id, labore prodesset ius ad.

Ei probo volumus prodesset has. Unum iisque definitionem in mea. Quando populo singulis et sit, ad scaevola persequeris vis. Audiam theophrastus at vel, erat persius pro te. Quando efficiantur at eos, assum detracto signiferumque vix at, ut vis dico simul albucius.

Suas graece vim ad, no prima nonumy epicuri pri. Dictas perfecto dissentiet mei ut. Ea sea tota tantas, ut cum meis abhorreant comprehensam. Pri eu aliquip epicuri conclusionemque, ius duis tantas essent ei.",,,,,"GBR; -33.868820, 151.209296",,British,
1791,1795,George Vancouver circumnavigates the world,,,,,,http://resources.amdigital.co.uk.ezproxy.library.uq.edu.au/eo/time/,GBR; CAN; USA,,British,Exploration
1792,,The New York Stock Exchange is founded,,,,,,http://resources.amdigital.co.uk.ezproxy.library.uq.edu.au/eo/time/,"40.712784, -74.005941",,American,
1792,,Sierra Leone falls under British control,,,,,,http://resources.amdigital.co.uk.ezproxy.library.uq.edu.au/eo/time/,"GBR; 8.460555,-11.779889",,British,Colonisation; Empire
1793,,Louis XVI is executed,,Reign of Terror begins. 20 000 people are executed,,,,http://resources.amdigital.co.uk.ezproxy.library.uq.edu.au/eo/time/,"48.865371, 2.321524",,French,Politics; War; Tragedy
