StartDate,EndDate,Title,RelatedEvents,Description,Footnotes,Image,ForMoreSee,Ref,Location,Influences,Empire,Tags
"// format must be yyyy/mm/dd. Be careful with dates after 1900, they require a ' at the beginning","// format yyyy or yyyy/mm/dd, be careful after 1900",,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"// Use lat, long or 3 country codes. Use ; to divide multiple locations",,// use ; to divide,// use ; to divide
1792,1802,French Revolution,,"""The wars began as an effort to defend the Revolution and developed into wars of conquest undert the Empire""",,,,http://www.encyclopedia.com/history/modern-europe/wars-and-battles/french-revolutionary-wars,FRA,AUT; Prussia; ESP; GBR,Major Events,
1792/4/20,,French Assembly declares war on Austria,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA; AUT,,,
1792/6/26,,First Coalition formed,,,,,,http://www.napoleonsims.com/timeline/timeline.htm;http://www.historyhome.co.uk/c-eight/france/coalit1.htm,ESP; NLD; AUT; Prussia; GBR,,,
1792/8/10,,Storming of the Tuileries,,Deaths: 600,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.863492, 2.327494",,,
1792/9/20,,Battle of Valmy,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"49.083988, 4.77411",FRA; Prussia,,
1792/11/6,,Battle of Jemappes,,,,,,http://www.napoleonsims.com/timeline/timeline.htm; http://www.napoleonguide.com/battle_jemappes.htm; http://www.napoleonguide.com/battle_jemappes.htm,"50.447935, 3.89905",FRA; AUT,,
1793/01/21,,Louix XVI Guillotined,,,,,,http://www.napoleonsims.com/timeline/timeline.htm; http://www.history.com/this-day-in-history/king-louis-xvi-executed,"48.865716, 2.321776",FRA,,
1793/03/18,,Battle of Neerwinden,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"50.766160, 5.04434",FRA; AUT,,
1793/6/11,,Bonaparte family flees to Toulon,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"43.124228, 5.928",,,
1793/9/16,1793/12/19,Napoleon distinguishes himself at the siege of Toulon,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"43.124228, 5.928",,,
1793/10/15,1793/10/16,Battle of Wattignies,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"50.581494, 3.044099",FRA; AUT,,
1794/02,,Napoleon appointed commander of artillery in the Army of Italy,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1794/06/26,,Battle of Fleurus,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"50.482261, 4.551187",FRA; AUT,,
1794/07/27,,Fall of Robespierre,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1794/08/8,,Napoleon arrested,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1795/05/16,,Peace of Basle,,Prussia leaves war,,,,http://www.napoleonsims.com/timeline/timeline.htm,"47.557456, 7.590523",Prussia,,
1795/08/19,,Peace with Spain,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA; ESP,,,
1796/03/8,,Napoleon married Josephine,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/03/11,,Napoleon is appointed Commander-in-Chief of the Army of Italy,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/04/12,1796/04/11,Battle of Montenotte,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"44.400807, 8.273246",,,
1796/04/13,,Battle of Millesimo,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"44.362726, 8.207784",,,
1796/04/14,1796/04/15,Battle of Dego,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"44.447689, 8.313249",,,
1796/04/16,1796/04/17,Battle of Ceva,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"44.386254, 8.029079",,,
1796/04/20,,Mondovi Taken,,reaches the plains of Northern Italy,,,,http://www.napoleonsims.com/timeline/timeline.htm,"44.395343, 7.819671",,,
1796/04/28,,Armistice of Cherasco,,Piedmont out of the war,,,,http://www.napoleonsims.com/timeline/timeline.htm,"45.052237, 7.515388",,,
1796/05/10,,Action at Lodi,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"45.309723, 9.503716",,,
1796/06/19,,First Battle of Altenkirchen,Second Battle of Altenkirchen,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"50.684149, 7.636579",FRA; AUT,,
1796/06/19,,Battle of Ukerath,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"50.734132, 7.367647",,,
1796/06/28,,Battle of Kinzig,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.586235, 8.011881",,,
1796/07/05,,Battle of Rastatt,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.859117, 8.20591",,,
1796/07/09,,Battle of Ettlingen,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.943208, 8.398017",,,
1796/07/14,,Battle of Haslach,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.277371, 8.090001",,,
1796/08/05,,Battle of Castiglione,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"44.259916, 12.263077",,,
1796/08/07,,Battle of Forcheim,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"49.721306, 11.069883",,,
1796/08/11,,Battle of Neresheim,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.756133, 10.328194",,,
1796/08/24,,Battle of Friedberg,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"50.324893, 8.74087",,,
1796/08/24,,Battle of Amberg,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"49.440320, 11.863345",,,
1796/09/03,,Battle of Wurzberg,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"49.791304, 9.953355",,,
1796/09/08,,Battle of Bassano,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"45.765729, 11.727275",,,
1796/10/02,,Battle of Biberach,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.095147, 9.790152",,,
1796/10/19,,Battle of Emmendlingen,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"48.117092, 7.853905",,,
1796/10/23,,Battle of Schliengen,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"47.755893, 7.577182",,,
1796/11/15,1796/11/17,Battle of Arcola,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"44.113361, 9.9046",,,
1797/01/14,,Battle of Rivoli,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"45.071090, 7.513821",,,
1797/04/18,,Second Battle of Altenkirchen,Battle of First Battle of Altenkirchen,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"50.684149, 7.636579",,,
1797/04/20,,Battle of Diersham,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,?,,,
1797/03/10,1797/04/06,Army of Italy engaged in operations against Archduke Charles,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1797/09/04,,Coup d'etat of 18 Fructidor,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1797/10/17,,Treaty of Campo Formio with Austria ends war in Italy,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,AUT; FRA; ITA,,,
1798/05/19,,Napoleon sales from Toulon to invade Egypt,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"43.124228, 5.928; EGY",,,
1798/06/12,,Napoleon occupied Malta,French forced to surrender to Malta,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"35.937496, 14.375416",FRA,,
1798/07/21,,Battle of the Pyramids,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"30.044420, 31.235712",FRA; EGY,,
1798/08/01,,Battle of the Nile,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"30.044420, 31.235713",FRA; EGY; GBR,,
1798/10/21,,Cairo revolt suppressed,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"30.044420, 31.235714",,,
1798/12/29,,Second Coalition is formed,War of the Second Coalition,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1798/12/29,1802,War of the Second Coalition,Second Coalition is formed,,,,,http://www.historyofwar.org/articles/wars_napoleonic.html,,,,
1799/02/05,,Napoleon invades Syria,,Modern Isreal/Palestine,,,,http://www.napoleonsims.com/timeline/timeline.htm,ISR; PSE,,,
1799/03/01,,Russia declares war on France,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,RUS; FRA,,,
1799/03/17,1799/05/20,Seige of Acre,Battle of Mount Tabor; Napoleons final assault on Acre repulsed,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"32.933052, 35.082678",,,
