StartDate,EndDate,Title,RelatedEvents,Description,Footnotes,Image,ForMoreSee,Ref,Location,Influences,Empire,Tags
"// format must be yyyy/mm/dd. Be careful with dates after 1900, they require a ' at the beginning","// format yyyy or yyyy/mm/dd, be careful after 1900",,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,"// Use lat, long or 3 country codes. Use ; to divide multiple locations",,// use ; to divide,// use ; to divide
1792/4/20,,French Assembly declares war on Austria,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA; AUT,,,
1792/6/26,,First Coalition formed,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,,,
1792/8/10,,Storming of the Tuileries,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,,,
1792/9/20,,Battle of Valmy,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,,,
1792/11/6,,Battle of Jemappes,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,FRA,,,
1793/01/21,,Louix XVI Guillotined,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1793/03/18,,Battle of Neerwinden,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1793/6/11,,Bonaparte family flees to Toulon,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1793/9/16,1793/12/19,Napoleon distinguishes himself at the siege of Toulon,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1793/10/15,1793/10/16,Battle of Wattignies,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1794/02,,Napoleon appointed commander of artillery in the Army of Italy,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1794/06/26,,Battle of Fleurus,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1794/07/27,,Fall of Robespierre,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1794/08/8,,Napoleon arrested,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1795/05/16,,Peace of Basle,,Prussia leaves war,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1795/08/19,,Peace with Spain,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/03/8,,Napoleon married Josephine,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/03/11,,Napoleon is appointed Commander-in-Chief of the Army of Italy,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/04/12,1796/04/11,Battle of Montenotte,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/04/13,,Battle of Millesimo,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/04/14,1796/04/15,Battle of Dego,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/04/16,1796/04/17,Battle of Ceva,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/04/20,,Mondovi Taken,,reaches the plains of Northern Italy,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/04/28,,Armistice of Cherasco,,Piedmont out of the war,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/05/10,,Action at Lodi,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/06/19,,Battle of First Battle of Altenkirchen,Second Battle of Altenkirchen,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/06/19,,Battle of Ukerath,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1796/06/28,,Battle of Kinzig,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
